rosbagTimestamp,lane_markings,header,seq,stamp,secs,nsecs,frame_id,look_index,timeStamp,frameNum,host_left,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,host_right,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,neighbor_left,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,neighbor_right,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,host_lane_width,left_lane_width,right_lane_width,ego_lane_change_status,road_edges,Header,seq,stamp,secs,nsecs,frame_id,look_index,left_road_edge,quality,reserved,type,id,traceStatus,roadEdgeCurve,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,right_road_edge,quality,reserved,type,id,traceStatus,roadEdgeCurve,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,error_flag,detected_edge_cnt
1620888969666240416,,,0,,0,0,'',0,0.0,0,,,34.5,,0,2.0829000473,-0.0290239993483,0.00049200002104,-9.12000018616e-07,,7.40000009537,2.0,,197,2,1,,0,11,0.0,,,48.6300010681,,0,-1.18320000172,-0.0118589997292,0.000203000003239,-2.48299988925e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,41.3600006104,,0,2.35150003433,-0.0102570001036,0.000111000001198,5.29299995833e-06,,0.0,0.0,,4,0,0,196,2,,39.5800018311,,0,-5.42959976196,-0.067322999239,0.00174700003117,-9.66799962043e-06,,8.63000011444,0.0,0,0
1620888969716081685,,,0,,0,0,'',0,0.0,0,,,34.5,,0,2.07369995117,-0.0291329994798,0.000491000013426,-9.12000018616e-07,,7.40000009537,2.0,,197,2,1,,0,11,0.0,,,48.6300010681,,0,-1.18700003624,-0.0121520003304,0.000199999994948,-2.48299988925e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,41.3600006104,,0,2.35150003433,-0.0102570001036,0.000111000001198,5.29299995833e-06,,0.0,0.0,,4,0,0,196,2,,39.5800018311,,0,-5.42959976196,-0.067322999239,0.00174700003117,-9.66799962043e-06,,8.63000011444,0.0,0,0
1620888969766103897,,,0,,0,0,'',0,0.0,0,,,33.8600006104,,0,2.08220005035,-0.0302709992975,0.000586999987718,-3.80999995286e-06,,6.76000022888,2.0,,197,2,1,,0,1,0.0,,,49.0999984741,,0,-1.20319998264,-0.0126040000468,0.000216000000364,-2.69099996331e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,41.3600006104,,0,2.35150003433,-0.0102570001036,0.000111000001198,5.29299995833e-06,,0.0,0.0,,4,0,0,196,2,,39.5800018311,,0,-5.42959976196,-0.067322999239,0.00174700003117,-9.66799962043e-06,,8.63000011444,0.0,0,0
1620888969816287872,,,0,,0,0,'',0,0.0,0,,,33.8600006104,,0,2.0775001049,-0.0302649997175,0.000584999972489,-3.80999995286e-06,,6.76000022888,2.0,,197,2,1,,0,1,0.0,,,49.0999984741,,0,-1.20510005951,-0.0127140004188,0.00021499999275,-2.69099996331e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,40.7099990845,,0,2.42179989815,-0.0024689999409,9.89999971353e-05,-2.91199989988e-06,,0.0,0.0,,1,0,0,196,2,,38.9300003052,,0,-5.48040008545,-0.0664480030537,0.00174099998549,-1.34109995997e-05,,7.98999977112,0.0,0,0
1620888969866020374,,,0,,0,0,'',0,0.0,0,,,33.8600006104,,0,2.06780004501,-0.0302590001374,0.000581000000238,-3.80999995286e-06,,6.76000022888,2.0,,197,2,1,,0,1,0.0,,,49.0999984741,,0,-1.2092000246,-0.0129439998418,0.00021199999901,-2.69099996331e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,40.7099990845,,0,2.42179989815,-0.0024689999409,9.89999971353e-05,-2.91199989988e-06,,0.0,0.0,,1,0,0,196,2,,38.9300003052,,0,-5.48040008545,-0.0664480030537,0.00174099998549,-1.34109995997e-05,,7.98999977112,0.0,0,0
1620888969916120966,,,0,,0,0,'',0,0.0,0,,,35.8400001526,,0,2.05480003357,-0.0296439994127,0.000635000003967,-4.98999997944e-06,,6.11999988556,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.21689999104,-0.0128690004349,0.000220999994781,-3.22200003211e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,40.0800018311,,0,2.42960000038,-0.00574899977073,9.69999964582e-05,-4.72000010632e-06,,0.0,0.0,,4,0,0,196,2,,38.2900009155,,0,-5.52339982986,-0.0616759993136,0.0016680000117,-1.36460002977e-05,,7.34999990463,0.0,0,0
1620888969966063232,,,0,,0,0,'',0,0.0,0,,,35.8400001526,,0,2.04539990425,-0.0296090003103,0.000630000024103,-4.98999997944e-06,,6.11999988556,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.22099995613,-0.0130960000679,0.000216999993427,-3.22200003211e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,40.0800018311,,0,2.42960000038,-0.00574899977073,9.69999964582e-05,-4.72000010632e-06,,0.0,0.0,,4,0,0,196,2,,38.2900009155,,0,-5.52339982986,-0.0616759993136,0.0016680000117,-1.36460002977e-05,,7.34999990463,0.0,0,0
1620888970016012429,,,0,,0,0,'',0,0.0,0,,,38.1699981689,,0,2.0271999836,-0.0303930006921,0.000694999995176,-6.12900021224e-06,,5.5,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.22019994259,-0.0125660002232,0.000205999996979,-3.85700013794e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,39.9099998474,,0,2.39840006828,-0.0121020004153,9.60000033956e-05,-2.50800007962e-06,,0.0,0.0,,1,0,0,196,2,,38.2999992371,,0,-5.56640005112,-0.0608350001276,0.00161399994977,-1.52989996423e-05,,6.71000003815,0.0,0,0
1620888970066054973,,,0,,0,0,'',0,0.0,0,,,38.1699981689,,0,2.01760005951,-0.0306289996952,0.000689000007696,-6.12900021224e-06,,5.5,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.2242000103,-0.0131090003997,0.000203000003239,-3.85700013794e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,39.9099998474,,0,2.39840006828,-0.0121020004153,9.60000033956e-05,-2.50800007962e-06,,0.0,0.0,,1,0,0,196,2,,38.2999992371,,0,-5.56640005112,-0.0608350001276,0.00161399994977,-1.52989996423e-05,,6.71000003815,0.0,0,0
1620888970116093718,,,0,,0,0,'',0,0.0,0,,,37.5499992371,,0,2.00909996033,-0.0299030002207,0.00065000000177,-5.86799978919e-06,,4.86999988556,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.22710001469,-0.0144450003281,0.000197000001208,-3.85800012737e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,39.2900009155,,0,2.4061999321,-0.0112629998475,8.80000006873e-05,-4.31699982073e-06,,0.0,0.0,,1,0,0,196,2,,37.9599990845,,0,-5.59759998322,-0.0550389997661,0.00161000003573,-1.15929997264e-05,,6.07999992371,0.0,0,0
